n,N,N_label,standard_paper_grid,seed,scaled_budget,Delta_N_u_total,Delta_N_u_mean_term,Delta_N_u_cov_term,self_consistency_kl_u
100,1000,N=n^(3/2),1,3,0.0826446280991735,4.834870041773826,1.5628886509837314,3.271981390790094,0.0563564991709708
100,1000,N=n^(3/2),1,4,0.0826446280991735,4.777372966944471,0.7915151207336195,3.985857846210852,-0.0439277100362746
100,1000,N=n^(3/2),1,5,0.0826446280991735,2.871769966946662,1.015782978337982,1.85598698860868,0.0268387518395105
100,1000,N=n^(3/2),1,6,0.0826446280991735,3.56063952221513,1.257175670823142,2.303463851391988,0.0463197551366249
100,1000,N=n^(3/2),1,7,0.0826446280991735,5.956147173195106,2.062203653123696,3.89394352007141,-0.0223062850189863
100,1000,N=n^(3/2),1,8,0.0826446280991735,5.916720617445727,1.3206349190421554,4.596085698403572,-0.0476565276707775
100,1000,N=n^(3/2),1,9,0.0826446280991735,4.974887670078571,1.9533690753930224,3.021518594685549,0.0310445576331845
100,1000,N=n^(3/2),1,10,0.0826446280991735,5.314056241932199,1.924445178677872,3.3896110632543266,0.001257088688649
100,1000,N=n^(3/2),1,11,0.0826446280991735,5.235694834791599,1.574508333541429,3.66118650125017,0.0111061209280835
100,1000,N=n^(3/2),1,12,0.0826446280991735,5.110779722728811,1.9704891765448371,3.1402905461839734,0.0917411965480052
100,1000,N=n^(3/2),1,13,0.0826446280991735,4.571446318526204,0.640559417477705,3.9308869010485,-0.0703804415169318
100,1000,N=n^(3/2),1,14,0.0826446280991735,4.5310049242871075,1.6302704282232536,2.900734496063854,-0.0271854197124417
100,1000,N=n^(3/2),1,15,0.0826446280991735,6.009548381218529,2.0789107952515993,3.93063758596693,-0.0050982394138635
100,1000,N=n^(3/2),1,16,0.0826446280991735,4.214008813459934,1.9112372955804464,2.3027715178794868,-0.0256092100559992
100,1000,N=n^(3/2),1,17,0.0826446280991735,4.081846795693627,1.2804903375794037,2.8013564581142236,-0.0440839900914264
100,1000,N=n^(3/2),1,18,0.0826446280991735,5.648904472891248,1.7117285311605737,3.937175941730674,0.0322508159711473
100,1000,N=n^(3/2),1,19,0.0826446280991735,6.206696134269606,1.7425938842042006,4.464102250065405,-0.0226065096384509
100,1000,N=n^(3/2),1,20,0.0826446280991735,5.209940884338168,1.343678396185921,3.8662624881522465,-0.0515312477494187
100,1000,N=n^(3/2),1,21,0.0826446280991735,9.317726246617056,2.313159712019063,7.004566534597992,-0.0397432071541913
