method,t1,t2
flow-NPE,0.6258406639099121,0.12960052490234375
flow-NPE,0.6560729742050171,0.23838543891906738
flow-NPE,0.6343772411346436,0.08998703956604004
flow-NPE,0.6483566761016846,0.1263371706008911
flow-NPE,0.6042547225952148,0.1986449956893921
flow-NPE,0.5920251607894897,0.14667987823486328
flow-NPE,0.5742309093475342,0.07767856121063232
flow-NPE,0.5770266056060791,0.10349905490875244
flow-NPE,0.6201142072677612,0.17936396598815918
flow-NPE,0.5707149505615234,0.013226866722106934
flow-NPE,0.5705052614212036,0.1965770721435547
flow-NPE,0.612277626991272,0.20365428924560547
flow-NPE,0.6216120719909668,0.09396004676818848
flow-NPE,0.6240233182907104,0.14676964282989502
flow-NPE,0.644890546798706,0.0652230978012085
flow-NPE,0.6511678695678711,-0.02160567045211792
flow-NPE,0.614317774772644,0.16691803932189941
flow-NPE,0.5658819675445557,0.09729671478271484
flow-NPE,0.6086947917938232,0.15640223026275635
flow-NPE,0.5950137376785278,0.12337088584899902
flow-NPE,0.6177030801773071,0.03797566890716553
flow-NPE,0.6721206903457642,0.1567596197128296
flow-NPE,0.6307773590087891,-0.0036792755126953125
flow-NPE,0.64013671875,0.08934450149536133
flow-NPE,0.6409651041030884,0.18050384521484375
flow-NPE,0.6453956365585327,0.1806185245513916
flow-NPE,0.6010288000106812,0.1396571397781372
flow-NPE,0.5895496606826782,0.17347252368927002
flow-NPE,0.5818355083465576,0.039060354232788086
flow-NPE,0.5529838800430298,0.08330273628234863
flow-NPE,0.6354708671569824,0.22851622104644775
flow-NPE,0.5813541412353516,0.20832574367523193
flow-NPE,0.5601024627685547,0.11534237861633301
flow-NPE,0.6373264789581299,0.1019892692565918
flow-NPE,0.5655966997146606,0.1661362648010254
flow-NPE,0.6515614986419678,0.08014392852783203
flow-NPE,0.6669963598251343,0.08191847801208496
flow-NPE,0.652857780456543,0.08286941051483154
flow-NPE,0.5440727472305298,0.15667998790740967
flow-NPE,0.635844349861145,0.08312380313873291
flow-NPE,0.6543391942977905,0.11916863918304443
flow-NPE,0.6726852655410767,0.07634437084197998
flow-NPE,0.5930309295654297,0.14932990074157715
flow-NPE,0.6154043674468994,0.04015326499938965
flow-NPE,0.625438928604126,0.09600996971130371
flow-NPE,0.5787806510925293,0.13501358032226562
flow-NPE,0.6249067783355713,0.08518993854522705
flow-NPE,0.6135252714157104,0.017292380332946777
flow-NPE,0.6253042221069336,0.11680424213409424
flow-NPE,0.5840810537338257,0.05574679374694824
flow-NPE,0.660918116569519,0.15193462371826172
flow-NPE,0.6130701303482056,0.05800318717956543
flow-NPE,0.6601153612136841,0.07046186923980713
flow-NPE,0.5172828435897827,0.03425145149230957
flow-NPE,0.5922340154647827,0.1108170747756958
flow-NPE,0.6161861419677734,0.1048731803894043
flow-NPE,0.5892555713653564,0.12771308422088623
flow-NPE,0.652214527130127,0.017656564712524414
flow-NPE,0.647476077079773,0.07225024700164795
flow-NPE,0.6148793697357178,0.08653557300567627
flow-NPE,0.6188081502914429,0.11757993698120117
flow-NPE,0.5499857664108276,0.15744376182556152
flow-NPE,0.672601580619812,0.08338379859924316
flow-NPE,0.633946418762207,0.04670441150665283
flow-NPE,0.6535336971282959,0.2251795530319214
flow-NPE,0.62343430519104,0.11573588848114014
flow-NPE,0.5785083770751953,0.0056819915771484375
flow-NPE,0.605349063873291,0.22259020805358887
flow-NPE,0.6049760580062866,0.19189119338989258
flow-NPE,0.579471230506897,0.09875059127807617
flow-NPE,0.6575220823287964,-0.008274435997009277
flow-NPE,0.6044028997421265,0.1872272491455078
flow-NPE,0.6335275173187256,0.05240774154663086
flow-NPE,0.6437413692474365,-0.02846139669418335
flow-NPE,0.6259381771087646,0.18252384662628174
flow-NPE,0.5821080207824707,0.11000823974609375
flow-NPE,0.6313140392303467,-0.009073257446289062
flow-NPE,0.5948163270950317,0.09760379791259766
flow-NPE,0.6237484216690063,0.1411457061767578
flow-NPE,0.6340501308441162,0.15902721881866455
flow-NPE,0.6080813407897949,0.13724946975708008
flow-NPE,0.6083847284317017,0.14893066883087158
flow-NPE,0.5679466724395752,0.14431047439575195
flow-NPE,0.6963205337524414,0.038388729095458984
flow-NPE,0.5743886232376099,0.08492445945739746
flow-NPE,0.6349260807037354,0.1301485300064087
flow-NPE,0.5765094757080078,0.09739243984222412
flow-NPE,0.6365618705749512,0.09044754505157471
flow-NPE,0.6279256343841553,0.07176089286804199
flow-NPE,0.6169576644897461,0.11087560653686523
flow-NPE,0.6219233274459839,0.16895508766174316
flow-NPE,0.5998169183731079,0.15512347221374512
flow-NPE,0.6921637058258057,0.09700238704681396
flow-NPE,0.5931135416030884,0.20714163780212402
flow-NPE,0.6673977375030518,0.06830167770385742
flow-NPE,0.6212987899780273,0.12165200710296631
flow-NPE,0.5861328840255737,0.06560003757476807
flow-NPE,0.615113377571106,0.10254514217376709
flow-NPE,0.6082569360733032,0.19307005405426025
flow-NPE,0.5850931406021118,0.14451217651367188
flow-NPE,0.6214714050292969,0.10224294662475586
flow-NPE,0.6540597677230835,0.12476480007171631
flow-NPE,0.5921732187271118,0.23890042304992676
flow-NPE,0.6577404737472534,0.19404780864715576
flow-NPE,0.6017239093780518,0.16924667358398438
flow-NPE,0.6323525905609131,0.035123586654663086
flow-NPE,0.6448025703430176,0.04785025119781494
flow-NPE,0.6650978326797485,0.03051292896270752
flow-NPE,0.6113815307617188,0.12510931491851807
flow-NPE,0.6420508623123169,0.09784078598022461
flow-NPE,0.61210036277771,0.11190903186798096
flow-NPE,0.588292121887207,0.06136763095855713
flow-NPE,0.5748742818832397,0.059911251068115234
flow-NPE,0.5649442672729492,0.11728286743164062
