method,standardisation,seed,n_obs,N_sims,theta_kl,status
gaussian_npe,identity_median_iqr,24,1000,1000000,2.1688342809,finite_metric
gaussian_npe,robust_asinh_median_iqr,0,1000,1000,9.30737486178,finite_metric
gaussian_npe,robust_asinh_median_iqr,1,1000,1000,8.99316957442,finite_metric
gaussian_npe,robust_asinh_median_iqr,2,1000,1000,7.76821735766,finite_metric
gaussian_npe,robust_asinh_median_iqr,3,1000,1000,9.06196919495,finite_metric
gaussian_npe,robust_asinh_median_iqr,4,1000,1000,7.35360812395,finite_metric
gaussian_npe,robust_asinh_median_iqr,5,1000,1000,8.92112874837,finite_metric
gaussian_npe,robust_asinh_median_iqr,6,1000,1000,7.46477059971,finite_metric
gaussian_npe,robust_asinh_median_iqr,7,1000,1000,10.6892979327,finite_metric
gaussian_npe,robust_asinh_median_iqr,8,1000,1000,8.70465396199,finite_metric
gaussian_npe,robust_asinh_median_iqr,9,1000,1000,7.51731276429,finite_metric
gaussian_npe,robust_asinh_median_iqr,10,1000,1000,9.74799605273,finite_metric
gaussian_npe,robust_asinh_median_iqr,11,1000,1000,8.10232737901,finite_metric
gaussian_npe,robust_asinh_median_iqr,12,1000,1000,8.7763187494,finite_metric
gaussian_npe,robust_asinh_median_iqr,13,1000,1000,8.73569119865,finite_metric
gaussian_npe,robust_asinh_median_iqr,14,1000,1000,10.1597140297,finite_metric
gaussian_npe,robust_asinh_median_iqr,15,1000,1000,9.81422697038,finite_metric
gaussian_npe,robust_asinh_median_iqr,16,1000,1000,10.0185606841,finite_metric
gaussian_npe,robust_asinh_median_iqr,17,1000,1000,8.77846280254,finite_metric
gaussian_npe,robust_asinh_median_iqr,18,1000,1000,9.82964526434,finite_metric
gaussian_npe,robust_asinh_median_iqr,19,1000,1000,8.11190900572,finite_metric
gaussian_npe,robust_asinh_median_iqr,20,1000,1000,8.36503887438,finite_metric
gaussian_npe,robust_asinh_median_iqr,21,1000,1000,9.41843991166,finite_metric
gaussian_npe,robust_asinh_median_iqr,22,1000,1000,8.5585060358,finite_metric
gaussian_npe,robust_asinh_median_iqr,23,1000,1000,9.84140163303,finite_metric
gaussian_npe,robust_asinh_median_iqr,24,1000,1000,7.7723090648,finite_metric
gaussian_npe,robust_asinh_median_iqr,0,1000,6907,5.09350288981,finite_metric
gaussian_npe,robust_asinh_median_iqr,1,1000,6907,5.02086406084,finite_metric
gaussian_npe,robust_asinh_median_iqr,2,1000,6907,7.05072992125,finite_metric
gaussian_npe,robust_asinh_median_iqr,3,1000,6907,5.52583711788,finite_metric
gaussian_npe,robust_asinh_median_iqr,4,1000,6907,4.78900094928,finite_metric
gaussian_npe,robust_asinh_median_iqr,5,1000,6907,5.84963631004,finite_metric
gaussian_npe,robust_asinh_median_iqr,6,1000,6907,4.79571586489,finite_metric
gaussian_npe,robust_asinh_median_iqr,7,1000,6907,5.47833596121,finite_metric
gaussian_npe,robust_asinh_median_iqr,8,1000,6907,4.75031925724,finite_metric
gaussian_npe,robust_asinh_median_iqr,9,1000,6907,5.85094935213,finite_metric
gaussian_npe,robust_asinh_median_iqr,10,1000,6907,5.55786629921,finite_metric
gaussian_npe,robust_asinh_median_iqr,11,1000,6907,6.34865187481,finite_metric
gaussian_npe,robust_asinh_median_iqr,12,1000,6907,4.40657295704,finite_metric
gaussian_npe,robust_asinh_median_iqr,13,1000,6907,4.7475956324,finite_metric
gaussian_npe,robust_asinh_median_iqr,14,1000,6907,5.50784099478,finite_metric
gaussian_npe,robust_asinh_median_iqr,15,1000,6907,5.85011757956,finite_metric
gaussian_npe,robust_asinh_median_iqr,16,1000,6907,4.78002843475,finite_metric
gaussian_npe,robust_asinh_median_iqr,17,1000,6907,3.91436566321,finite_metric
